,Job Title,Company Name,Location,Posted Date,Job Link
38,Principal Data Analyst,Gojek,Jakarta,2023-09-19,https://id.linkedin.com/jobs/view/data-analyst-senior-lead-at-gojek-3676162315?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=LiRdVDH9wAylqyk%2Fjdz5XA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
39,Business Intelligence Analyst Intern,Flash Coffee,Jakarta,2023-08-24,https://id.linkedin.com/jobs/view/senior-data-analyst-at-julo-3726604247?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=xNpBvvedm5s8eHWxNtBGWA%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
40,Data Analyst Senior Lead,Gojek,Jakarta,2023-09-28,https://id.linkedin.com/jobs/view/senior-data-analyst-fintech-at-goto-financial-3691786923?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=LIlBulFEXW0s%2BS1VaQ1khA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
41,Senior Data Analyst,JULO,Jakarta Selatan,2023-09-25,https://id.linkedin.com/jobs/view/digital-analytics-consultant-indonesia-at-fifty-five-3723965979?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=vXOlolKYFFgRyLQCxLJ5iQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
42,Senior Data Analyst - Fintech,GoTo Financial,Area DKI Jakarta,2023-09-12,https://id.linkedin.com/jobs/view/data-analytics-user-platform-at-traveloka-3660664723?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=5imm7NLCWI6qIBBJ3y4esA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
43,Digital Analytics Consultant - Indonesia,fifty-five,Jakarta,2023-09-21,https://id.linkedin.com/jobs/view/senior-data-analyst-at-amar-bank-3575812833?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=oWFesPKxJwJhLw3Gt6rJMg%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
44,Data Analytics - User Platform,Traveloka,Area DKI Jakarta,2023-07-11,https://id.linkedin.com/jobs/view/analytics-engineer-business-intelligence-at-shopee-3730247278?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=AeNeGiCQgoUwcakfPVS8Dw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
45,Senior Data Analyst,Amar Bank,Jakarta,2023-03-29,https://id.linkedin.com/jobs/view/data-analyst-data-management-function-at-mufg-3679531209?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=R5py%2BrI%2F56pEPWI6BfyE3A%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
46,Analytics Engineer - Business Intelligence,Shopee,"Jakarta Raya, Indonesia",2023-09-29,https://id.linkedin.com/jobs/view/data-engineer-at-indodana-3712665949?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=Nu5UoA%2FVWSFT0qPQN8l6Zg%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
47,Data Analyst - Data Management Function,MUFG,"Jakarta Raya, Indonesia",2023-08-14,https://id.linkedin.com/jobs/view/data-engineer-associate-at-gravel-3718916683?refId=cOfPLBZstrbAceD76HXdLg%3D%3D&trackingId=x4h7Epvi7vVECeOBw7aflw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
48,Data Engineer,Indodana,Jakarta,2023-09-08,https://id.linkedin.com/jobs/view/data-analyst-multinational-manufacturing-industry-at-michael-page-3575869131?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=GTfZtAGV3lUAZe%2FvHqVU8w%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
49,Data Engineer Associate,Gravel,Area DKI Jakarta,2023-09-18,https://id.linkedin.com/jobs/view/data-engineer-at-pt-asuransi-msig-indonesia-3711153390?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=wYdaVbwIbiq2GIMCrVAGaA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
50,Data Engineer Analyst,PT Bank Mayapada Internasional Tbk,Jakarta,2023-08-18,https://id.linkedin.com/jobs/view/data-center-engineer-at-pt-kairos-utama-indonesia-3708223130?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=dZTLfdtkW6dEYGSe7wQNyg%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
51,Data Analyst - Multinational Manufacturing Industry,Michael Page,Area DKI Jakarta,2023-03-29,https://id.linkedin.com/jobs/view/senior-data-analyst-at-fazz-3728596531?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=G7z0%2FMwf71AoALzYIs6YOg%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
52,Data & Mine Analyst Officer,PT. Anzawara Satria,Jakarta,2023-09-29,https://id.linkedin.com/jobs/view/data-analyst-credit-risk-at-wenetwork-3726366161?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=veybGPkNOmImJ967%2BM%2BS2A%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
53,Data Engineer,PT. Asuransi MSIG Indonesia,Jakarta,2023-09-06,https://id.linkedin.com/jobs/view/jr-data-engineer-talent-pool-at-staffinc-group-3656159459?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=IKEHkunyUdjIxlOQXQGuTg%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
54,Data Center Engineer,PT. Kairos Utama Indonesia,Jakarta,2023-08-30,https://id.linkedin.com/jobs/view/data-engineer-data-warehouse-business-intelligence-at-shopee-3611205740?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=f7YZenBFQUYwihGaWcT5%2BA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
55,Senior Data Analyst,Fazz,Jakarta,2023-09-29,https://id.linkedin.com/jobs/view/data-analyst-fraud-forensics-at-xendit-3713158476?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=uTVmx9ugod8Hq7LtxdXo%2Bg%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
